TambonThai,TambonEng,TambonThaiShort,TambonEngShort,DistrictThai,DistrictEng,DistrictThaiShort,DistrictEngShort,ProvinceThai,ProvinceEng,PostCodeMain
แขวงบางขุนเทียน,Khwaeng Bang Khun Thian,บางขุนเทียน,Bang Khun Thian,เขตจอมทอง,Khet Chom Thong,จอมทอง,Chom Thong,กรุงเทพมหานคร,Bangkok,10150
แขวงบางค้อ,Khwaeng Bang Kho,บางค้อ,Bang Kho,เขตจอมทอง,Khet Chom Thong,จอมทอง,Chom Thong,กรุงเทพมหานคร,Bangkok,10150
แขวงบางมด,Khwaeng Bang Mot,บางมด,Bang Mot,เขตจอมทอง,Khet Chom Thong,จอมทอง,Chom Thong,กรุงเทพมหานคร,Bangkok,10150
แขวงจอมทอง,Khwaeng Chom Thong,จอมทอง,Chom Thong,เขตจอมทอง,Khet Chom Thong,จอมทอง,Chom Thong,กรุงเทพมหานคร,Bangkok,10150
แขวงสีกัน,Khwaeng Si Kan,สีกัน,Si Kan,เขตดอนเมือง,Khet Don Mueang,ดอนเมือง,Don Mueang,กรุงเทพมหานคร,Bangkok,10210
แขวงดอนเมือง,Khwaeng Don Mueang,ดอนเมือง,Don Mueang,เขตดอนเมือง,Khet Don Mueang,ดอนเมือง,Don Mueang,กรุงเทพมหานคร,Bangkok,10210
แขวงสนามบิน,Khwaeng Sanam Bin,สนามบิน,Sanam Bin,เขตดอนเมือง,Khet Don Mueang,ดอนเมือง,Don Mueang,กรุงเทพมหานคร,Bangkok,10210
แขวงทุ่งพญาไท,Khwaeng Thung Phaya Thai,ทุ่งพญาไท,Thung Phaya Thai,เขตราชเทวี,Khet Ratchathewi,ราชเทวี,Ratchathewi,กรุงเทพมหานคร,Bangkok,10400
แขวงถนนพญาไท,Khwaeng Thanon Phaya Thai,ถนนพญาไท,Thanon Phaya Thai,เขตราชเทวี,Khet Ratchathewi,ราชเทวี,Ratchathewi,กรุงเทพมหานคร,Bangkok,10400
แขวงถนนเพชรบุรี,Khwaeng Thanon Phetchaburi,ถนนเพชรบุรี,Thanon Phetchaburi,เขตราชเทวี,Khet Ratchathewi,ราชเทวี,Ratchathewi,กรุงเทพมหานคร,Bangkok,10400
แขวงมักกะสัน,Khwaeng Makkasan,มักกะสัน,Makkasan,เขตราชเทวี,Khet Ratchathewi,ราชเทวี,Ratchathewi,กรุงเทพมหานคร,Bangkok,10400
แขวงลาดพร้าว,Khwaeng Lat Phrao,ลาดพร้าว,Lat Phrao,เขตลาดพร้าว,Khet Lat Phrao,ลาดพร้าว,Lat Phrao,กรุงเทพมหานคร,Bangkok,10230
แขวงจรเข้บัว,Khwaeng Chorakhe Bua,จรเข้บัว,Chorakhe Bua,เขตลาดพร้าว,Khet Lat Phrao,ลาดพร้าว,Lat Phrao,กรุงเทพมหานคร,Bangkok,10230
แขวงคลองเตยเหนือ,Khwaeng Khlong Toei Nuea,คลองเตยเหนือ,Khlong Toei Nuea,เขตวัฒนา,Khet Vadhana,วัฒนา,Vadhana,กรุงเทพมหานคร,Bangkok,10110
แขวงคลองตันเหนือ,Khwaeng Khlong Tan Nuea,คลองตันเหนือ,Khlong Tan Nuea,เขตวัฒนา,Khet Vadhana,วัฒนา,Vadhana,กรุงเทพมหานคร,Bangkok,10110
แขวงพระโขนงเหนือ,Khwaeng Phra Khanong Nuea,พระโขนงเหนือ,Phra Khanong Nuea,เขตวัฒนา,Khet Vadhana,วัฒนา,Vadhana,กรุงเทพมหานคร,Bangkok,10110
แขวงบางแค,Khwaeng Bang Khae,บางแค,Bang Khae,เขตบางแค,Khet Bang Khae,บางแค,Bang Khae,กรุงเทพมหานคร,Bangkok,10160
แขวงบางแคเหนือ,Khwaeng Bang Khae Nuea,บางแคเหนือ,Bang Khae Nuea,เขตบางแค,Khet Bang Khae,บางแค,Bang Khae,กรุงเทพมหานคร,Bangkok,10160
แขวงบางไผ่,Khwaeng Bang Phai,บางไผ่,Bang Phai,เขตบางแค,Khet Bang Khae,บางแค,Bang Khae,กรุงเทพมหานคร,Bangkok,10160
แขวงหลักสอง,Khwaeng Lak Song,หลักสอง,Lak Song,เขตบางแค,Khet Bang Khae,บางแค,Bang Khae,กรุงเทพมหานคร,Bangkok,10160
แขวงทุ่งสองห้อง,Khwaeng Thung Song Hong,ทุ่งสองห้อง,Thung Song Hong,เขตหลักสี่,Khet Lak Si,หลักสี่,Lak Si,กรุงเทพมหานคร,Bangkok,10210
แขวงตลาดบางเขน,Khwaeng Talat Bang Khen,ตลาดบางเขน,Talat Bang Khen,เขตหลักสี่,Khet Lak Si,หลักสี่,Lak Si,กรุงเทพมหานคร,Bangkok,10210
แขวงสายไหม,Khwaeng Sai Mai,สายไหม,Sai Mai,เขตสายไหม,Khet Sai Mai,สายไหม,Sai Mai,กรุงเทพมหานคร,Bangkok,10220
แขวงออเงิน,Khwaeng O Ngoen,ออเงิน,O Ngoen,เขตสายไหม,Khet Sai Mai,สายไหม,Sai Mai,กรุงเทพมหานคร,Bangkok,10220
แขวงคลองถนน,Khwaeng Khlong Thanon,คลองถนน,Khlong Thanon,เขตสายไหม,Khet Sai Mai,สายไหม,Sai Mai,กรุงเทพมหานคร,Bangkok,10220
แขวงคันนายาว,Khwaeng Khan Na Yao,คันนายาว,Khan Na Yao,เขตคันนายาว,Khet Khan Na Yao,คันนายาว,Khan Na Yao,กรุงเทพมหานคร,Bangkok,10230
แขวงรามอินทรา,Khwaeng Ram Inthra,รามอินทรา,Ram Inthra,เขตคันนายาว,Khet Khan Na Yao,คันนายาว,Khan Na Yao,กรุงเทพมหานคร,Bangkok,10230
แขวงสะพานสูง,Khwaeng Saphan Sung,สะพานสูง,Saphan Sung,เขตสะพานสูง,Khet Saphan Sung,สะพานสูง,Saphan Sung,กรุงเทพมหานคร,Bangkok,10240
แขวงราษฎร์พัฒนา,Khwaeng Rat Phatthana,ราษฎร์พัฒนา,Rat Phatthana,เขตสะพานสูง,Khet Saphan Sung,สะพานสูง,Saphan Sung,กรุงเทพมหานคร,Bangkok,10240
แขวงทับช้าง,Khwaeng Thap Chang,ทับช้าง,Thap Chang,เขตสะพานสูง,Khet Saphan Sung,สะพานสูง,Saphan Sung,กรุงเทพมหานคร,Bangkok,10250
แขวงวังทองหลาง,Khwaeng Wang Thonglang,วังทองหลาง,Wang Thonglang,เขตวังทองหลาง,Khet Wang Thonglang,วังทองหลาง,Wang Thonglang,กรุงเทพมหานคร,Bangkok,10310
แขวงสะพานสอง,Khwaeng Saphan Song,สะพานสอง,Saphan Song,เขตวังทองหลาง,Khet Wang Thonglang,วังทองหลาง,Wang Thonglang,กรุงเทพมหานคร,Bangkok,10310
แขวงคลองเจ้าคุณสิงห์,Khwaeng Khlong Chao Khun Sing,คลองเจ้าคุณสิงห์,Khlong Chao Khun Sing,เขตวังทองหลาง,Khet Wang Thonglang,วังทองหลาง,Wang Thonglang,กรุงเทพมหานคร,Bangkok,10310
แขวงพลับพลา,Khwaeng Phlapphla,พลับพลา,Phlapphla,เขตวังทองหลาง,Khet Wang Thonglang,วังทองหลาง,Wang Thonglang,กรุงเทพมหานคร,Bangkok,10310
แขวงสามวาตะวันตก,Khwaeng Sam Wa Tawan Tok,สามวาตะวันตก,Sam Wa Tawan Tok,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,10510
แขวงสามวาตะวันออก,Khwaeng Sam Wa Tawan Ok,สามวาตะวันออก,Sam Wa Tawan Ok,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,10510
แขวงบางชัน,Khwaeng Bang Chan,บางชัน,Bang Chan,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,10510
แขวงทรายกองดิน,Khwaeng Sai Kong Din,ทรายกองดิน,Sai Kong Din,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,10510
แขวงทรายกองดินใต้,Khwaeng Sai Kong Din Tai,ทรายกองดินใต้,Sai Kong Din Tai,เขตคลองสามวา,Khet Khlong Sam Wa,คลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,10510
แขวงบางนาเหนือ,Khwaeng Bang Na Nuea,บางนาเหนือ,Bang Na Nuea,เขตบางนา,Khet Bang Na,บางนา,Bang Na,กรุงเทพมหานคร,Bangkok,10260
แขวงบางนาใต้,Khwaeng Bang Na Tai,บางนาใต้,Bang Na Tai,เขตบางนา,Khet Bang Na,บางนา,Bang Na,กรุงเทพมหานคร,Bangkok,10260
แขวงทวีวัฒนา,Khwaeng Thawi Watthana,ทวีวัฒนา,Thawi Watthana,เขตทวีวัฒนา,Khet Thawi Watthana,ทวีวัฒนา,Thawi Watthana,กรุงเทพมหานคร,Bangkok,10170
แขวงศาลาธรรมสพน์,Khwaeng Sala Thammasop,ศาลาธรรมสพน์,Sala Thammasop,เขตทวีวัฒนา,Khet Thawi Watthana,ทวีวัฒนา,Thawi Watthana,กรุงเทพมหานคร,Bangkok,10170
แขวงบางมด,Khwaeng Bang Mot,บางมด,Bang Mot,เขตทุ่งครุ,Khet Thung Khru,ทุ่งครุ,Thung Khru,กรุงเทพมหานคร,Bangkok,10140
แขวงทุ่งครุ,Khwaeng Thung Khru,ทุ่งครุ,Thung Khru,เขตทุ่งครุ,Khet Thung Khru,ทุ่งครุ,Thung Khru,กรุงเทพมหานคร,Bangkok,10140
แขวงบางบอนเหนือ,Khwaeng Bang Bon Nuea,บางบอนเหนือ,Bang Bon Nuea,เขตบางบอน,Khet Bang Bon,บางบอน,Bang Bon,กรุงเทพมหานคร,Bangkok,10150
แขวงบางบอนใต้,Khwaeng Bang Bon Tai,บางบอนใต้,Bang Bon Tai,เขตบางบอน,Khet Bang Bon,บางบอน,Bang Bon,กรุงเทพมหานคร,Bangkok,10150
แขวงคลองบางพราน,Khwaeng Khlong Bang Phran,คลองบางพราน,Khlong Bang Phran,เขตบางบอน,Khet Bang Bon,บางบอน,Bang Bon,กรุงเทพมหานคร,Bangkok,10150
แขวงคลองบางบอน,Khwaeng Khlong Bang Bon,คลองบางบอน,Khlong Bang Bon,เขตบางบอน,Khet Bang Bon,บางบอน,Bang Bon,กรุงเทพมหานคร,Bangkok,10150
ปากน้ำ,Pak Nam,ปากน้ำ,Pak Nam,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10270
สำโรงเหนือ,Samrong Nuea,สำโรงเหนือ,Samrong Nuea,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10270
บางเมือง,Bang Mueang,บางเมือง,Bang Mueang,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10270
ท้ายบ้าน,Thai Ban,ท้ายบ้าน,Thai Ban,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10280
บางปูใหม่,Bang Pu Mai,บางปูใหม่,Bang Pu Mai,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10280
แพรกษา,Phraek Sa,แพรกษา,Phraek Sa,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10280
บางโปรง,Bang Prong,บางโปรง,Bang Prong,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10270
บางปู,Bang Pu,บางปู,Bang Pu,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10280
บางด้วน,Bang Duan,บางด้วน,Bang Duan,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan,เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,10270
